dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.7134827172279892,0.6105800332725082,0.9817291231123088,0.9434788300644907,0.9312310425251658,0.9672720974167482,0.9408684890011398,0.9365517234434227,0.9541205947158746,0.857744115881782,0.36502388692180954,0.9378568436232392
LED-display-domain-7digit,0.726,0.602,0.712,0.686,0.6779999999999999,0.6940000000000001,0.7,0.692,0.688,0.6519999999999999,0.73,0.688
MagicTelescope,0.7549421661409044,0.7790220820189274,0.8469505783385909,0.7841219768664563,0.7763406940063091,0.8042586750788644,0.7894321766561514,0.7822292323869611,0.7894321766561514,0.7268664563617245,0.6669821240799159,0.7822818086225026
PhishingWebsites,0.9292616988372758,0.9298044397895477,0.9675262860743128,0.8625962868107321,0.8137500102280445,0.9218454665215647,0.9296249989771956,0.8602447366483107,0.8733605262942568,0.6982366851316962,0.9293525238722559,0.8616920458543691
Speech,0.9712486744432661,0.884959349593496,0.984808383409921,0.9804716036290797,0.9799281253682102,0.9834533698597856,0.980470867208672,0.9801998644986449,0.9815556144691883,0.9723304760221515,0.9834511605985625,0.9801998644986449
UCI_churn,0.8550871230511949,0.8550862239484994,0.856587725450001,0.14491287694880509,0.14491287694880509,0.14491287694880509,0.14491287694880509,0.14491287694880509,0.14491287694880509,0.14491287694880509,0.8550871230511949,0.3993364622107137
USPS,0.8269501255830642,0.6387371089273933,0.9597752236767481,0.8094198872646041,0.8019991434887785,0.8186691667534752,0.807376529277637,0.807376529277637,0.8084520295843605,0.7814560690764726,0.8398575182008635,0.8372747896338992
artificial-characters,0.2525906070369596,0.21481654339113448,0.9309063482905943,0.7020937034602123,0.655510310869011,0.7982972067981393,0.9508708510707624,0.5734971661641727,0.6282049561939007,0.260322848364387,0.18643467610703596,0.4655507339989381
banknote-authentication,0.8447476991431291,0.7362001481011319,0.9985401459854014,0.9963503649635037,0.9905162382312493,0.9978102189781021,0.9963503649635037,0.9934359462604464,0.9963503649635037,0.8382418279911139,0.6363059346239289,0.9934359462604464
blood-transfusion-service-center,0.7472792792792793,0.6951351351351351,0.7834414414414415,0.7646666666666666,0.7606486486486486,0.7726306306306306,0.7552612612612613,0.762,0.7673693693693694,0.7445585585585586,0.762054054054054,0.762
