dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.5497947454844005,0.6397947454844007,0.6539408866995073,0.6516420361247948,0.652791461412151,0.6527093596059113,0.652791461412151,0.6516420361247948,0.6538998357963876,0.6538998357963876,0.6343596059113301,0.6516420361247948
banknote,0.8485872841567407,0.7266948107974855,0.9986842105263157,0.9967105263157896,0.9911323577199331,0.9980263157894737,0.9967105263157896,0.9934318377911993,0.9967105263157896,0.8332489663054805,0.590983606557377,0.9934318377911993
breast_cancer,0.9286904761904762,0.8558189033189032,0.9568542568542568,0.9269227994227995,0.9255339105339105,0.9372799422799423,0.9269227994227995,0.9269227994227995,0.9334704184704185,0.9241450216450217,0.7862734487734488,0.9269227994227995
digits,0.8854695562435501,0.8185276917784657,0.9759993120055039,0.8792776057791537,0.8580254557963537,0.9102562779497763,0.8770227038183694,0.8764671482628138,0.8825816993464052,0.7890591675266598,0.9005555555555557,0.8691692466460268
ecoli,0.6983146258503401,0.5210731292517007,0.7214495464852607,0.7471638321995464,0.7471638321995464,0.7471638321995464,0.7471638321995464,0.7471638321995464,0.7471638321995464,0.5894631519274377,0.1738095238095238,0.7471638321995464
glass,0.6120833333333333,0.3884722222222222,0.6564285714285714,0.5981746031746031,0.5981746031746031,0.6187698412698412,0.5981746031746031,0.5752579365079364,0.6237698412698414,0.4963690476190476,0.2839484126984127,0.5720833333333333
ionosphere,0.7581053004966049,0.7354831762440458,0.8404251545555892,0.8528846153846154,0.8445918212222561,0.854556856187291,0.8528846153846154,0.8490384615384615,0.8570512820512821,0.8471381878990574,0.519551282051282,0.8490384615384615
iris,0.7533333333333333,0.6666666666666666,0.9400000000000001,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9466666666666667,0.9533333333333334,0.9533333333333334,0.7933333333333333,0.9466666666666667
letter,0.4199351788272175,0.405656148830584,0.9480556124116972,0.8517354247378686,0.8152723474652814,0.912698196487906,0.8475574749395216,0.8412950146513933,0.8707897747169726,0.6423977917255522,0.5201111783352289,0.8497218204953289
optdigits,0.8954292196007259,0.8207112432334756,0.9774317337230223,0.8594768052576581,0.8323598042912925,0.8807251121534243,0.8564724192927459,0.8562906011109277,0.8589286617798415,0.723794847620619,0.9073991444127559,0.895605098168619
page_blocks,0.6125704329194283,0.6721311994190577,0.7590737973721619,0.755201652032721,0.7393031028706417,0.765933500157303,0.7559833776892666,0.7391816963786191,0.7536641024019942,0.713209908495817,0.20651515151515154,0.7261392654000137
parkinsons,0.7646428571428572,0.7398809523809524,0.8158333333333333,0.7741666666666667,0.7675,0.8658333333333333,0.7741666666666667,0.7708333333333333,0.7775000000000001,0.7708333333333333,0.6950000000000001,0.7708333333333333
pendigits,0.8093999888975926,0.6966572789644332,0.9910575536462156,0.9687697484071129,0.9505860302931242,0.9814093231437907,0.9680386816096845,0.9680386816096845,0.9699708520686456,0.8551460871210018,0.7992600882846986,0.9698063904634433
robot_navigation,0.6324333481678002,0.5691747891630932,0.8598597559738506,0.8053575139013924,0.7615415964698878,0.864847643918836,0.8121892837050654,0.7921349478792478,0.8165819602746718,0.6647595323658868,0.4789282508642029,0.7741704802156074
satellite,0.7032494053923096,0.4872712806349987,0.8855264058001809,0.8254586337327753,0.8122473628454646,0.8478388336000707,0.823005957262146,0.822536473694071,0.8256935111634652,0.7855165377323896,0.4838861507469535,0.8284650647725632
segment,0.7233766233766235,0.49567099567099565,0.945021645021645,0.8835497835497836,0.8441558441558442,0.9333333333333333,0.8969696969696971,0.8831168831168832,0.8887445887445887,0.7961038961038962,0.7692640692640693,0.8727272727272728
sonar,0.7503787878787879,0.7443939393939394,0.7892929292929293,0.706060606060606,0.6965151515151515,0.7793181818181818,0.7110606060606062,0.7110606060606062,0.7251515151515152,0.6883333333333332,0.7496464646464647,0.7110606060606062
spambase,0.8911171704037786,0.8574979289112242,0.9163575598771944,0.8487686680117659,0.8454723102663813,0.8579254262634416,0.8495003656691452,0.8485066320515123,0.849306302420368,0.8406297327155187,0.8699239423974303,0.8689025145773772
transfusion,0.6472394220846234,0.6710268317853457,0.6281303749570004,0.576857585139319,0.5685242518059855,0.599389404884761,0.5840213278293773,0.5694014447884417,0.5846405228758169,0.5521327829377365,0.5,0.5694014447884417
vehicle,0.46764610389610384,0.47511819321029847,0.7046807359307359,0.6297889610389611,0.5895292207792208,0.6737166780587833,0.6240476190476191,0.6241558441558441,0.6472727272727272,0.459262360446571,0.5399757917521075,0.6174025974025974
vowel,0.37676767676767675,0.3242424242424242,0.9181818181818182,0.8464646464646466,0.7979797979797979,0.9545454545454547,0.8606060606060606,0.7777777777777778,0.8969696969696971,0.6747474747474748,0.4616161616161616,0.7545454545454545
waveform,0.7827989518220123,0.7320798798141654,0.8264513934398904,0.8107061485401996,0.8107180591915913,0.8100074857753536,0.8119074896766658,0.8117102510178889,0.811479738951799,0.8000990035302852,0.8182655549155031,0.8117102510178889
wine,0.934404761904762,0.8859126984126984,0.984920634920635,0.9841269841269842,0.9793650793650794,0.9904761904761905,0.9841269841269842,0.9841269841269842,0.9793650793650794,0.9793650793650794,0.9430158730158731,0.9841269841269842
yeast,0.3389889387846441,0.41918768377140764,0.5314551444524438,0.524280101020872,0.524280101020872,0.524280101020872,0.52859179183416,0.5192741591350737,0.5289699801050726,0.3564465695322056,0.15946393270931275,0.4646635485285529
