classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,51.0,7.205503275982662e-10,1.873430851755492e-08
BernoulliNB,"DW-NB(k=15,CV-λ)",64.0,1.3763507271193975e-09,3.440876817798494e-08
BernoulliNB,"DW-NB(k=15,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,"DW-NB(k=30,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,"DW-NB(k=5,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,DW-NB(w1-only),0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,DW-NB(w2-only),0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,DW-NB(w3-only),0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,GaussianNB,536.0,0.02099452331811395,0.3149178497717092
BernoulliNB,MultinomialNB,10.0,8.741002756899112e-11,3.394877475813885e-09
BernoulliNB,NB+kNN-Ensemble,1.0,5.4253667582425466e-11,3.394877475813885e-09
ComplementNB,"DW-NB(k=15,CV-λ)",0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,"DW-NB(k=15,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,"DW-NB(k=30,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,"DW-NB(k=5,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,DW-NB(w1-only),0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,DW-NB(w2-only),0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,DW-NB(w3-only),0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,GaussianNB,12.0,9.711701633410262e-11,3.394877475813885e-09
ComplementNB,MultinomialNB,761.0,0.6027770544142035,1.0
ComplementNB,NB+kNN-Ensemble,0.0,5.143753751233159e-11,3.394877475813885e-09
